@RELATION RapidMinerData

@ATTRIBUTE 'Date' DATE "yyyy.MM.dd HH:mm:ss Z"
@ATTRIBUTE 'HomeTeam' {'Aston Villa','Blackburn','Bolton','Chelsea','Everton','Portsmouth','Stoke','Wolves','Man United','Tottenham','Sunderland','Wigan','Birmingham','Burnley','Hull','Liverpool','Arsenal','Man City','Fulham','West Ham','Norwich','Swansea','West Brom','Crystal Palace','Newcastle','Southampton','Cardiff','QPR','Reading','Blackpool','Derby','Middlesbrough','Sheffield United','Watford','Charlton'}
@ATTRIBUTE 'AwayTeam' {'Wigan','Man City','Sunderland','Hull','Arsenal','Fulham','Burnley','West Ham','Birmingham','Liverpool','Chelsea','Wolves','Portsmouth','Man United','Tottenham','Stoke','Bolton','Blackburn','Everton','Aston Villa','Southampton','Cardiff','Newcastle','West Brom','Norwich','Crystal Palace','Swansea','Reading','QPR','Blackpool','Derby','Middlesbrough','Watford','Charlton','Sheffield United'}
@ATTRIBUTE 'FTHG' real
@ATTRIBUTE 'FTAG' real
@ATTRIBUTE 'FTR' {'A','H','D'}

@DATA
"2005.09.24 00:00:00 +0200",'West Brom','Charlton',1.0,2.0,'A'
"2005.09.24 00:00:00 +0200",'West Ham','Arsenal',0.0,0.0,'D'
"2005.09.25 00:00:00 +0200",'Middlesbrough','Sunderland',0.0,2.0,'A'
"2005.09.26 00:00:00 +0200",'Tottenham','Fulham',1.0,0.0,'H'
"2005.10.01 00:00:00 +0200",'Blackburn','West Brom',2.0,0.0,'H'
"2005.10.01 00:00:00 +0200",'Charlton','Tottenham',2.0,3.0,'A'
"2005.10.01 00:00:00 +0200",'Fulham','Man United',2.0,3.0,'A'
"2005.10.01 00:00:00 +0200",'Portsmouth','Newcastle',0.0,0.0,'D'
"2005.10.01 00:00:00 +0200",'Sunderland','West Ham',1.0,1.0,'D'
"2005.10.02 00:00:00 +0200",'Arsenal','Birmingham',1.0,0.0,'H'
"2005.10.02 00:00:00 +0200",'Aston Villa','Middlesbrough',2.0,3.0,'A'
"2005.10.02 00:00:00 +0200",'Liverpool','Chelsea',1.0,4.0,'A'
